energy_eV,osc
0.31169,0.03648643406253892
0.31169,0.03648641466913952
0.313548,0.03652396800746052
2.97916,0.19343999172417786
2.97916,0.19344899894093534
2.97916,0.02918025617930727
2.97916,0.029191205448149963
2.97977,0.02038357731756867
2.97977,0.020500687746612307
2.98102,0.0206775216321033
2.98102,0.020592030421366904
2.98163,0.12873787155879968
6.72839,0.34972067923352773
6.72839,0.34972016923820676
6.73025,0.3486575877705805
9.40968,0.034771545007803925
9.40968,0.03474625322536662
9.40968,0.02026659697123323
9.40968,0.020225496991668708
9.41154,0.02864869658640686
9.41154,0.028590926534026492
10.6982,0.16468551567853318
10.6982,0.16499656867341211
10.7,0.5518562295426228
10.7035,0.23350082453218446
10.7035,0.24009028128810211
10.7035,0.24022015303874905
10.7035,0.23315036667972452
10.7053,0.16525835242702894
10.7053,0.1645739127347041
13.1193,1.911040938023045
13.7303,0.024862315692678345
13.7303,0.02486171994763033
13.7322,0.025084106345453088
15.7868,0.865188569374908
15.7868,0.8651870806919219
15.7874,0.8612316927946858
19.536,1.1314033003177957
22.2173,0.0001660848745727223
22.2173,0.00016587203389568117
22.6869,0.47302076733637183
22.6869,0.8578078243482045
22.6887,0.32895072425364863
23.5058,0.44731953953521864
23.5111,0.4480535973233671
23.5111,0.44805387265149266
26.5379,0.197554251009691
35.4945,0.008556845778071497
